"line","venue_name","city_label","decision","reason"
"226","Nakamitsu","Kyoto","use:ve_1e0adb25c9","same venue: native name matches the database name exactly (中満)"
"227","Shimmonzen Yonemura","Kyoto","use:ve_ce2bc1a91d","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Shinmonzen Yonemura)"
"233","TAKAYAMA","Kyoto","use:ve_0266238561","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Creative Dining TAKAYAMA)"
"242","Gion Kida","Kyoto","use:ve_600f8aecb8","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Kida)"
"243","Gion Owatari","Kyoto","use:ve_7d39c534fc","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Owatari)"
"254","Mizuno","Kyoto","use:ve_7b7b814935","same venue: Mizuno, One Star, only award on the row; database name is a shop name (cleanup list) (Mizuno Shop Kyoto Shinkyogoku)"
"255","Miyagawacho Hotta","Kyoto","use:ve_d16f623333","same venue: native name matches the database name exactly (宮川町 ほった)"
"257","YOKOI","Kyoto","use:ve_07887175b2","same venue: native name matches the database name exactly (よこい)"
"261","Ryoriya Maekawa","Kyoto","use:ve_28f9969ee9","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Maekawa)"
"265","Kako Okamoto","Kyoto","use:ve_debbbeb7e6","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Kakou Okamoto)"
"274","Oryori Hirooka","Nara","use:ve_041c8fb2df","same venue: native name matches the database name exactly (お料理 ひろ岡)"
"277","Matsuki","Nara","use:ve_63a235c8e5","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Kappo Matsuki)"
"278","Hoshino","Nara","use:ve_7b1eba342c","same venue: Hoshino in Nara is the Hoshino Resorts restaurant, One Star; not the Tokyo Hoshino; database name is wrong (cleanup list) (Nara Prison Museum by Hoshino Resorts)"
"281","Koikiryori Aji Manso","Nara","use:ve_88d2384467","same venue: native name matches except the added character aji (小粋料理 万惣)"
"283","Naramachi Kuko","Nara","use:ve_c0eba7ae71","same venue by elimination: last unpaired Nara One Star; only award on the row; database name is a district name (cleanup list) (Naramachi Historic District)"
"284","Ajinotabibito Roman","Nara","use:ve_9b2a449b60","same venue by elimination: last unpaired Nara One Star; only award on the row; database name is wrong (cleanup list) (Ajimi Restaurant)"
"285","Ichiju Nisai Ueno Minoten","Osaka","use:ve_a75312d4a4","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Ichijunisai Ueno Minoh)"
"286","Naniwaryori Yu","Osaka","use:ve_63a6805c29","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Naniwa Ryouri YU)"
"287","Higashichaya Nakamura","Osaka","use:ve_4266a442c5","same venue: native name matches the database name exactly (東茶屋 なかむら)"
"288","Katamachi Kawaguchi","Osaka","use:ve_2b9977706a","same venue: native name matches the database name exactly (片町 川口)"
"289","Kamigatachuka SHINTANI","Osaka","use:ve_d840c4c6d7","same venue: native name matches the database name exactly (上方中華 新瓊 SHINTANI)"
"290","Ukitacho Ima","Osaka","new","new: no candidate in Osaka"
"293","Ajinokaze Nishimura","Nara","use:ve_5a5f89b599","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Nishimura)"
"294","atelier HANADA","Osaka","use:ve_6ae499440e","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (atelier HANADA by Morimoto)"
"298","Nishitemma Ichigaya","Osaka","use:ve_3c46f82f40","same venue: native name matches the database name exactly (西天満 市がや)"
"304","Zeshin","Osaka","use:ve_6517d9dd16","same venue: native name matches the database name exactly (是しん)"
"306","Ajikitcho Bumbuan","Osaka","use:ve_7ba1a9cef9","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Ajikitcho Bunbuan)"
"307","Kaishoku Shimizu","Osaka","use:ve_c41a9f1b06","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Shimizu)"
"308","Sui Oya","Osaka","use:ve_dde3200388","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Sui)"
"311","Shinchi Yamamoto","Osaka","use:ve_087c611947","same venue: native name matches the database name exactly (新地やま本)"
"314","Tosara","Osaka","use:ve_35b499f9f9","same venue: native name matches the database name exactly (十皿)"
"315","KushinGarando","Osaka","use:ve_c9f749f049","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Kuushin Garandou)"
"319","Ryoriya Inaya","Osaka","use:ve_c3309b0314","same venue: native name matches the database name exactly (料理屋 稲家)"
"321","Oryori Yamada","Osaka","use:ve_788968654e","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Yamada)"
"326","Oimatsu Kitagawa","Osaka","use:ve_a201cd49ee","same venue: native name matches the database name exactly (老松喜多川)"
"328","Ñ","Osaka","new","new: Michelin page puts N (Enye) in Azuchimachi, Osaka; no candidate in the database"
"329","Sushi Sanshin","Osaka","use:ve_2dbff4bc03","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Sanshin)"
"330","Yakitori Torisen","Osaka","use:ve_b4b70eeb1f","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Yakitori Torisen-Kitashinchi)"
"333","Fushimimachi Kakoiyama","Osaka","use:ve_0340ada29d","same venue: native name matches the database name exactly (伏見町 栫山)"
"337","Oryori Horikawa","Osaka","use:ve_8406809a2b","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Horikawa)"
"339","Hiraishi","Osaka","use:ve_08c64892ba","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Hiraishi Tempura)"
"340","Yoshiko","Osaka","use:ve_9f0810dd2c","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Yoshikou)"
"347","Alarde","Osaka","use:ve_b2d49bd3e2","same venue: native name matches the database name exactly (アラルデ)"
"349","Ajikitcho Horieten","Osaka","use:ve_6c0ed2d896","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Ajikitcho Horie)"
"351","Kaiseki Morimoto","Nara","use:ve_fcf29fc52b","same venue: native name matches the database name exactly (懐石森本)"
"354","Matsuzushi Tanigawa","Osaka","use:ve_41ffc915c2","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Matsuzushi)"
"356","à plus","Nara","use:ve_bfbe253c73","same venue: native name matches the database name exactly (A+ à plus ( アプリュス ))"
"359","Sobakappo Nagano","Tokyo","new","new: no candidate in Tokyo"
"362","wokotote","Tokyo","use:ve_a20648e454","same venue: native name matches the database name exactly (をことて)"
"365","Sugita","Tokyo","use:ve_82b64cf9a8","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Nihonbashi Kakigaracho Sugita)"
"368","Onigiri Asakusa Yadoroku","Tokyo","use:ve_1858e9ce1e","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Yadoroku Onigiri Asakusa)"
"373","Ma Poule","Tokyo","use:ve_3862b9b33f","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Ma Poule Restaurant)"
"377","Katsuyoshi","Tokyo","use:ve_5eeec43f90","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Katsuyoshi Nihonbashi Ningyōchō)"
"378","YAMATO","Tokyo","new","new: no candidate with a Michelin 2025 award in Tokyo"
"380","Tompachitei","Tokyo","use:ve_574009e126","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Tonkatsu Tonpachitei)"
"382","Biriyani Osawa","Tokyo","use:ve_b41a81d92d","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Biryani Osawa)"
"383","Mejiro Shunkotei","Tokyo","use:ve_8992bdffbb","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Mejiro Shunkou-tei)"
"385","Yaesu Unagi Hashimoto","Tokyo","use:ve_a58a80365b","same venue: Yaesu branch of Unagi Hashimoto (Yaesu Hashimoto)"
"386","Hashimoto","Tokyo","use:ve_f7f53488ea","same venue: Unagi Hashimoto, Tokyo, Bib Gourmand; the Toronto Hashimoto is a different venue (Unagi Hashimoto)"
"389","Mejiro Zorome","Tokyo","use:ve_c4682579b3","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Zorome)"
"390","Chukasoba Ginza Hachigou","Tokyo","use:ve_f9b5a7c265","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Ginza Hachigou)"
"395","Teuchisoba Jiyusan","Tokyo","use:ve_fdd4c0d652","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Jiyu-san)"
"396","Matsunozushi","Tokyo","use:ve_9c8ea87567","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Ōmorikaigan Matsunozushi)"
"399","Meishan","Tokyo","use:ve_a7c0f9c0ad","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Chūgoku Shisen Ryōri Meishan)"
"400","Kyorakutei","Tokyo","use:ve_f36f372e39","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Ishiusubiki Teuchi Kyōrakutei)"
"402","GINZA KATSUKAMI II","Tokyo","use:ve_ba96015edf","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Ginza Katsukami 2)"
"403","Shinrakuki","Tokyo","new","new: no candidate in Tokyo"
"406","Osteria da K. [káppa]","Tokyo","use:ve_4d2a7f1523","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Osteria da K)"
"410","Shokudo Wata","Tokyo","use:ve_93a6706c3d","same venue: native name matches the database name exactly (食堂 わた)"
"420","IRUCA TOKYO","Tokyo","use:ve_b3343819b0","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Iruca Tokyo Roppongi)"
"423","Sobakiri Suzuki","Tokyo","new","new: no candidate in Tokyo"
"431","Kuhara","Tokyo","use:ve_ea699830d5","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Koryori Kuhara)"
"436","DIALOGUE","Tokyo","new","new: the only similar row (Dialog in the Dark Japan) also holds an unrelated Forbes award; not merged"
"439","Les six","Tokyo","use:ve_e5a5ea255c","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Bistro Les Six)"
"442","REI","Tokyo","use:ve_464b8fc633","same venue: REI, Bib Gourmand, only award on the row; database name is a hotel name (cleanup list) (Shibuya Tokyu REI Hotel)"
"445","there is ramen","Tokyo","new","new: no candidate in Tokyo"
"448","Sennomago","Tokyo","use:ve_e2986a8431","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Chūgokuryōri Sennomago)"
"459","Tohakuan Karibe","Tokyo","use:ve_31c0193de3","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Touhakuan Karibe)"
"461","Gigio","Tokyo","use:ve_cd4cdf5953","same venue: Gigio, Bib Gourmand, only award on the row; database name is misspelled Giglio (cleanup list) (Giglio)"
"467","Shinjiko Shijimi Chukasoba Kohaku","Tokyo","new","new: no candidate in Tokyo"
"477","Vegan Ramen UZU","Kyoto","use:ve_bb69a63e96","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Vegan Ramen UZU Kyoto)"
"478","Tan","Kyoto","new","new: no candidate in Kyoto; the other Tan venues are in Shanghai and Beijing"
"480","Sumiyakisosaitoriya Hitomi","Kyoto","use:ve_491642d330","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Sumiyaki Sousai Toriya Hitomi)"
"483","Soba Rojina","Kyoto","use:ve_61d60cddfc","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Soba Roujina)"
"486","Teuchisoba Kanei","Kyoto","use:ve_80d44a9cf1","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Teuichi Kanei Soba)"
"499","Kikunoi Mugesambo","Kyoto","use:ve_540d615c36","same venue: Salon de Muge is the Kikunoi Mugesambo cafe, Bib Gourmand (Salon de Muge)"
"500","Gombei","Kyoto","use:ve_3213838b49","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Gion Gombei)"
"513","Ramenya Fujitora","Kyoto","use:ve_9dca83deb3","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Fujitora)"
"522","Ike Edoyakiunagi Asahitei","Nara","use:ve_2c7d5b1e03","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Asahitei)"
"525","Noto Toto Teuchisoba Tabiki","Nara","new","new: no candidate in Nara"
"526","Sumibi Iwata","Osaka","use:ve_2f2d0d3e24","same venue: native name matches the database name exactly (炭火いわ田)"
"531","Tenboshi","Osaka","use:ve_56c6657840","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Tempura TENBOSHI)"
"532","Ogimachi Udonya Asuro","Osaka","use:ve_3e0d7ba19c","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Ogimachi Udon-ya Asuroh)"
"533","Daidokoro Kamiya","Osaka","use:ve_0bc5f10006","same venue: native name matches the database name exactly (台処 かみ谷)"
"543","Az","Osaka","use:ve_1528041274","same venue: database name starts with Az, Bib Gourmand, only award on the row; name carries junk text (cleanup list) (Az/Bifun Azuma Osaka)"
"544","Shuko Osaka Manpukudou","Osaka","new","new: Michelin names this as a new Bib Gourmand in Osaka 2026"
"547","Oudon Yomogi","Osaka","use:ve_184c446cc9","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Yomogi)"
"559","Sakeya Sakana Yoshimura","Osaka","use:ve_2d7c9264d5","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Yoshimura, Japanese rice wine SAKE and Appetizer)"
"560","Ayamedo","Osaka","use:ve_6e4f0f5f1e","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Soba AYAMEDO)"
"562","Oryori Amenimomakezu","Osaka","use:ve_3b476d06c1","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Amenimomakezu)"
"563","Izakaya Tokitame","Osaka","use:ve_0fadfdc41e","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Tokitame)"
"568","Kushikatsu Gojoya","Osaka","use:ve_e033f957bd","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Gojoya)"
"573","Oribe","Osaka","use:ve_233a1477b3","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Teppanyaki Okonomiyaki Oribe)"
"576","Chukasoba Mugen","Osaka","use:ve_cc076f2eb5","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Mugen)"
"578","Osteria La Cicerchia","Osaka","use:ve_ca8543ec8e","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (La Cicerchia)"
"583","Tori Yamaguchi","Nara","use:ve_a468cb68fa","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Yamaguchi)"
"585","PIZZERIA TRATTORIA MAGAZZINO","Nara","use:ve_84a7697352","same venue: same city and same 2025 distinction, name differs only by romanization or a place/genre prefix (Magazzino)"
