line,verdict,stage_reason,csv_name,csv_city,candidate_id,candidate_name,candidate_city,candidate_michelin_2025,proposed,confidence,reason,decision
71,new_venue,,Le Pré - Xavier Beaudiment,Clermont-Ferrand,ve_12e5bf15ad,Restaurant Le Pré,clermont-ferrand,Two Stars,use:ve_12e5bf15ad,high,same tier both years: 2 stars,use:ve_12e5bf15ad
72,new_venue,,La Côte d'Or,Saulieu,,,,,new,high,"no candidate in saulieu, nor anywhere in France holding a Michelin 2025 row",new
73,new_venue,,Serge Vieira,Chaudes-Aigues,,,,,new,high,"no candidate in chaudes-aigues, nor anywhere in France holding a Michelin 2025 row",new
74,new_venue,,Frédéric Doucet,Charolles,ve_10b8eaf5ef,Restaurant Frédéric Doucet,charolles,Two Stars,use:ve_10b8eaf5ef,high,same tier both years: 2 stars,use:ve_10b8eaf5ef
75,new_venue,,La Table de Franck Putelat,Carcassonne,,,,,new,high,"no candidate in carcassonne, nor anywhere in France holding a Michelin 2025 row",new
76,new_venue,,Cyril Attrazic,Aumont-Aubrac,ve_9e5a1fe04b,Restaurant Cyril Attrazic,peyre-en-aubrac,Two Stars,use:ve_9e5a1fe04b,high,same tier both years: 2 stars,use:ve_9e5a1fe04b
77,new_venue,,Bulle d'Osier,Langres,,,,,new,high,"no candidate in langres, nor anywhere in France holding a Michelin 2025 row",new
79,new_venue,,Cédric Burtin,Saint-Rémy,ve_023efa5fc2,Restaurant Cédric Burtin,saint-remy,Two Stars,use:ve_023efa5fc2,high,same tier both years: 2 stars,use:ve_023efa5fc2
80,new_venue,,La Table Lionel Giraud,Narbonne,,,,,new,high,"no candidate in narbonne, nor anywhere in France holding a Michelin 2025 row",new
81,new_venue,,Georges Blanc,Vonnas,,,,,new,high,"no candidate in vonnas, nor anywhere in France holding a Michelin 2025 row",new
82,review_city,city_not_found,Paul Bocuse,Collonges-au-Mont-d'Or,ve_2332f48c17,Restaurant Paul Bocuse,lyon (other city),Two Stars,use:ve_2332f48c17,medium,"city differs: db lyon, michelin Collonges-au-Mont-d'Or (no city row for the michelin label); the venue is not moved; the discrepancy is recorded here",use:ve_2332f48c17
83,new_venue,,Mère Brazier,Lyon,ve_d2820ac4f5,La Mère Brazier,lyon,,use:ve_d2820ac4f5,medium,"the venue is in lyon already but holds no Michelin 2025 row, so it is outside the candidate search - there is no 2025 tier to compare against the 2026 2 stars",use:ve_d2820ac4f5
84,new_venue,,Takao Takano,Lyon,ve_726a22f45a,RESTAURANT Takao Takano,lyon,Two Stars,use:ve_726a22f45a,high,same tier both years: 2 stars,use:ve_726a22f45a
86,new_venue,,La Pyramide - Maison Henriroux,Vienne,,,,,new,high,"no candidate in vienne, nor anywhere in France holding a Michelin 2025 row",new
88,new_venue,,La Merise,Laubach,ve_95f52c5e5a,Restaurant La Merise,laubach,Two Stars,use:ve_95f52c5e5a,high,same tier both years: 2 stars,use:ve_95f52c5e5a
90,new_venue,,La Fourchette des Ducs,Obernai,,,,,new,high,"no candidate in obernai, nor anywhere in France holding a Michelin 2025 row",new
92,new_venue,,Michel Kayser - Restaurant Alexandre,Garons,,,,,new,high,"no candidate in garons, nor anywhere in France holding a Michelin 2025 row",new
95,new_venue,,Maison Benoît Vidal,Annecy,,,,,new,high,"no candidate in annecy, nor anywhere in France holding a Michelin 2025 row",new
97,new_venue,,L'Auberge de Saint-Rémy - Fanny Rey & Jonathan Wahid,Saint-Rémy-de-Provence,ve_4e77c0295c,L’Auberge De Saint-Rémy,saint-remy,,use:ve_4e77c0295c,medium,"the venue is in saint-remy already but holds no Michelin 2025 row, so it is outside the candidate search - there is no 2025 tier to compare against the 2026 2 stars",use:ve_4e77c0295c
98,new_venue,,Jean Sulpice,Talloires-Montmin,,,,,new,high,"no candidate in talloires-montmin, nor anywhere in France holding a Michelin 2025 row",new
100,new_venue,,Maison Aribert,Uriage-les-Bains,,,,,new,high,"no candidate in uriage-les-bains, nor anywhere in France holding a Michelin 2025 row",new
101,new_venue,,La Table des Amis,Bonnieux,,,,,new,high,"no candidate in bonnieux, nor anywhere in France holding a Michelin 2025 row",new
102,new_venue,,René et Maxime Meilleur,Saint-Martin-de-Belleville,,,,,new,high,"no candidate in saint-martin-de-belleville, nor anywhere in France holding a Michelin 2025 row",new
103,new_venue,,Slalom 1850,Courchevel,,,,,new,high,"no candidate in courchevel, nor anywhere in France holding a Michelin 2025 row",new
104,new_venue,,Sylvestre Wahid - Les Grandes Alpes,Courchevel,,,,,new,high,"no candidate in courchevel, nor anywhere in France holding a Michelin 2025 row",new
105,new_venue,,La Voile - La Réserve Ramatuelle,Ramatuelle,ve_8a8e59f190,La Voile,ramatuelle,,use:ve_8a8e59f190,medium,"the venue is in ramatuelle already but holds no Michelin 2025 row, so it is outside the candidate search - there is no 2025 tier to compare against the 2026 2 stars",use:ve_8a8e59f190
106,new_venue,,La Villa Archange,Le Cannet,,,,,new,high,"no candidate in le-cannet, nor anywhere in France holding a Michelin 2025 row",new
108,new_venue,,La Chèvre d'Or,Èze,,,,,new,high,"no candidate in eze, nor anywhere in France holding a Michelin 2025 row",new
109,new_venue,,Casadelmar,Porto-Vecchio,ve_39ac1adc6c,Hôtel Casadelmar,porto-vecchio,Two Stars,use:ve_39ac1adc6c,high,same tier both years: 2 stars,use:ve_39ac1adc6c
113,new_venue,,Nori,Roscoff,,,,,new,high,"no candidate in roscoff, nor anywhere in France holding a Michelin 2025 row",new
114,new_venue,,La Pomme d'Api,Saint-Pol-de-Léon,,,,,new,high,"no candidate in saint-pol-de-leon, nor anywhere in France holding a Michelin 2025 row",new
116,new_venue,,Nicolas Carro - Hôtel de Carantec,Carantec,ve_30501b82cb,Restaurant Nicolas Carro,carantec,One Star,use:ve_30501b82cb,high,same tier both years: 1 star,use:ve_30501b82cb
117,new_venue,,Allium,Quimper,,,,,new,high,"no candidate in quimper, nor anywhere in France holding a Michelin 2025 row",new
121,new_venue,,Ar Men Du,Névez,,,,,new,high,"no candidate in nevez, nor anywhere in France holding a Michelin 2025 row",new
122,new_venue,,Rosmadec Le Moulin,Pont-Aven,,,,,new,high,"no candidate in pont-aven, nor anywhere in France holding a Michelin 2025 row",new
123,review_venue,same_key_other_city,Louise,Lorient,,,,,new,high,"no candidate in lorient, nor anywhere in France holding a Michelin 2025 row",new
124,new_venue,,Avel Vor,Port-Louis,,,,,new,high,"no candidate in port-louis, nor anywhere in France holding a Michelin 2025 row",new
125,new_venue,,L'Inattendu - Domaine de Locguénolé,Kervignac,,,,,new,high,"no candidate in kervignac, nor anywhere in France holding a Michelin 2025 row",new
126,review_city,city_not_found,La Table d'Asten,Binic,,,,,new,high,"no candidate anywhere in France holding a Michelin 2025 row; needs city: Binic, France",new
128,new_venue,,Aux Pesked,Saint-Brieuc,,,,,new,high,"no candidate in saint-brieuc, nor anywhere in France holding a Michelin 2025 row",new
131,new_venue,,Le Gavrinis,Baden,ve_fd6cd0318d,Restaurant Le Gavrinis,baden,One Star,use:ve_fd6cd0318d,high,same tier both years: 1 star,use:ve_fd6cd0318d
132,new_venue,,Le Pressoir,Saint-Avé,ve_d6372fa061,Restaurant Le Pressoir,saint-ave,One Star,use:ve_d6372fa061,high,same tier both years: 1 star,use:ve_d6372fa061
133,new_venue,,La Tête en l'air,Vannes,ve_cb6c037c7c,Restaurant La Tête en l'air,vannes,One Star,use:ve_cb6c037c7c,high,same tier both years: 1 star,use:ve_cb6c037c7c
134,new_venue,,La Table - Domaine du Liziec,Vannes,,,,,new,high,"no candidate in vannes, nor anywhere in France holding a Michelin 2025 row",new
136,new_venue,,Pourquoi Pas,Dinard,,,,,new,high,"no candidate in dinard, nor anywhere in France holding a Michelin 2025 row",new
137,new_venue,,Le Saint Placide,Saint-Malo,ve_4d254317ea,Saint-Placide,saint-malo,One Star,use:ve_4d254317ea,high,same tier both years: 1 star,use:ve_4d254317ea
138,new_venue,,La Table Breizh Café,Cancale,,,,,new,high,"no candidate in cancale, nor anywhere in France holding a Michelin 2025 row",new
139,new_venue,,Le Mascaret,Blainville-sur-Mer,,,,,new,high,"no candidate in blainville-sur-mer, nor anywhere in France holding a Michelin 2025 row",new
140,new_venue,,Maison Tiegezh,Guer,ve_c29125ac38,Hôtel Restaurant Maison Tiegezh,guer,Bib Gourmand + One Star,use:ve_c29125ac38,high,same tier both years: 1 star,use:ve_c29125ac38
141,new_venue,,La Mare aux Oiseaux,Saint-Joachim,,,,,new,high,"no candidate in saint-joachim, nor anywhere in France holding a Michelin 2025 row",new
146,review_city,city_not_found,Auberge du Pont d'Acigné,Noyal-sur-Vilaine,,,,,new,high,"no candidate anywhere in France holding a Michelin 2025 row; needs city: Noyal-sur-Vilaine, France",new
147,review_city,city_not_found,La Table des Pères - Domaine du Château des Pères,Piré-Chancé,,,,,new,high,"no candidate anywhere in France holding a Michelin 2025 row; needs city: Piré-Chancé, France",new
149,new_venue,,Jean-Marc Pérochon,Bretignolles-sur-Mer,,,,,new,high,"no candidate in bretignolles-sur-mer, nor anywhere in France holding a Michelin 2025 row",new
150,new_venue,,Omija,Nantes,ve_8e0adfebb4,Restaurant Omija,nantes,One Star,use:ve_8e0adfebb4,high,same tier both years: 1 star,use:ve_8e0adfebb4
156,new_venue,,Le 1201 - Abbaye de Villeneuve,Les Sorinières,,,,,new,high,"no candidate in les-sorinieres, nor anywhere in France holding a Michelin 2025 row",new
161,review_city,city_not_found,L'Éveil des Sens,Mayenne,,,,,new,high,"no candidate anywhere in France holding a Michelin 2025 row; needs city: Mayenne, France",new
163,new_venue,,Le Manoir du Lys,Bagnoles-de-l'Orne,,,,,new,high,"no candidate in bagnoles-de-lorne, nor anywhere in France holding a Michelin 2025 row",new
164,new_venue,,Les Reflets,La Roche-sur-Yon,ve_bbb2e26803,Restaurant les Reflets,la-roche-sur-yon,One Star,use:ve_bbb2e26803,high,same tier both years: 1 star,use:ve_bbb2e26803
165,new_venue,,Maximin Hellio,Deauville,ve_7c32575d62,Restaurant Maximin Hellio,deauville,One Star,use:ve_7c32575d62,high,same tier both years: 1 star,use:ve_7c32575d62
166,review_venue,same_key_other_city,L'Essentiel,Deauville,,,,,new,high,"no candidate left once the venue another row of this batch speaks for is set aside; dropped: ve_0cc3262ff1 (L'Essentiel, Saumur) is already spoken for by line 735 (L'Essentiel, match); dropped: ve_765c1b6aa3 (L'Essentiel, Périgueux) is already spoken for by line 356 (L'Essentiel, match)",new
168,new_venue,,La Renaissance,Argentan,,,,,new,high,"no candidate in argentan, nor anywhere in France holding a Michelin 2025 row",new
169,new_venue,,Maison Desamy,Mareuil-sur-Lay-Dissais,ve_867311bd99,Restaurant Maison Desamy,mareuil-sur-lay-dissais,One Star,use:ve_867311bd99,high,same tier both years: 1 star,use:ve_867311bd99
173,review_city,city_not_found,La Table de la Bergerie,Bellevigne-en-Layon,,,,,new,high,"no candidate anywhere in France holding a Michelin 2025 row; needs city: Bellevigne-en-Layon, France",new
174,new_venue,,G.a. au Manoir de Rétival,Rives-en-Seine,,,,,new,high,"no candidate in rives-en-seine, nor anywhere in France holding a Michelin 2025 row",new
175,new_venue,,Le Pavillon - Hôtel Westminster,Le Touquet-Paris-Plage,ve_8dccaaf452,Le Pavillon,le-touquet-paris-plage,One Star,use:ve_8dccaaf452,high,same tier both years: 1 star,use:ve_8dccaaf452
176,review_city,city_not_found,L'Auberge de Bagatelle,Le Mans,,,,,new,high,"no candidate anywhere in France holding a Michelin 2025 row; needs city: Le Mans, France",new
178,review_city,city_not_found,Fontevraud L'Ermitage,Fontevraud-l'Abbaye,,,,,new,high,"no candidate anywhere in France holding a Michelin 2025 row; needs city: Fontevraud-l'Abbaye, France",new
179,new_venue,,Bacôve,Saint-Omer,ve_a74e9ee3a3,Restaurant Bacôve,saint-omer,One Star,use:ve_a74e9ee3a3,high,same tier both years: 1 star,use:ve_a74e9ee3a3
181,new_venue,,Nacre,Arès,,,,,new,high,"no candidate in ares, nor anywhere in France holding a Michelin 2025 row",new
182,review_city,city_not_found,Le Patio,Arcachon,,,,,new,high,"no candidate anywhere in France holding a Michelin 2025 row; needs city: Arcachon, France",new
183,review_city,city_not_found,Haut Bonheur de la Table,Cassel,,,,,new,high,"no candidate anywhere in France holding a Michelin 2025 row; needs city: Cassel, France",new
187,new_venue,,Notes,Cognac,,,,,new,high,"no candidate in cognac, nor anywhere in France holding a Michelin 2025 row",new
190,new_venue,,La Table d'Aurélien Largeau,Biarritz,,,,,new,high,"no candidate in biarritz, nor anywhere in France holding a Michelin 2025 row",new
192,new_venue,,Les Frères Ibarboure,Bidart,,,,,new,high,"no candidate in bidart, nor anywhere in France holding a Michelin 2025 row",new
193,new_venue,,Auberge du XIIème Siècle,Saché,,,,,new,high,"no candidate in sache, nor anywhere in France holding a Michelin 2025 row",new
194,new_venue,,L'Impertinent,Biarritz,ve_9fd9ef0dbb,Restaurant L'Impertinent,biarritz,One Star,use:ve_9fd9ef0dbb,high,same tier both years: 1 star,use:ve_9fd9ef0dbb
195,new_venue,,Le Panoramique - Domaine de la Corniche,Rolleboise,,,,,new,high,"no candidate in rolleboise, nor anywhere in France holding a Michelin 2025 row",new
196,review_city,city_not_found,La Table de Cédric Béchade - L'Auberge Basque,Saint-Pée-sur-Nivelle,,,,,new,high,"no candidate anywhere in France holding a Michelin 2025 row; needs city: Saint-Pée-sur-Nivelle, France",new
199,new_venue,,Villa de l'Étang Blanc,Seignosse,ve_0cb1664757,Hotel-Restaurant Villa de l'Etang Blanc,seignosse,One Star,use:ve_0cb1664757,high,same tier both years: 1 star,use:ve_0cb1664757
200,new_venue,,La Ribaudière,Bourg-Charente,,,,,new,high,"no candidate in bourg-charente, nor anywhere in France holding a Michelin 2025 row",new
201,review_city,city_not_found,L'Évidence,Montbazon,,,,,new,high,"no candidate anywhere in France holding a Michelin 2025 row; needs city: Montbazon, France",new
202,new_venue,,Ithurria,Ainhoa,ve_f74a315a56,Restaurant Ithurria,ainhoa,One Star,use:ve_f74a315a56,high,same tier both years: 1 star,use:ve_f74a315a56
205,new_venue,,Choko Ona,Espelette,,,,,new,high,"no candidate in espelette, nor anywhere in France holding a Michelin 2025 row",new
206,new_venue,,Soléna,Bordeaux,ve_3cb99fd3d6,Restaurant Soléna,bordeaux,One Star,use:ve_3cb99fd3d6,high,same tier both years: 1 star,use:ve_3cb99fd3d6
207,new_venue,,Ruche,Gambais,,,,,new,high,"no candidate in gambais, nor anywhere in France holding a Michelin 2025 row",new
208,review_city,city_not_found,Le Georges,Chartres,,,,,new,high,"no candidate anywhere in France holding a Michelin 2025 row; needs city: Chartres, France",new
210,new_venue,,Cent33,Bordeaux,ve_f952760b96,Le Cent 33,bordeaux,One Star,use:ve_f952760b96,high,same tier both years: 1 star,use:ve_f952760b96
212,new_venue,,Tentazioni,Bordeaux,,,,,new,high,"no candidate in bordeaux, nor anywhere in France holding a Michelin 2025 row",new
214,new_venue,,Le Prince Noir - Vivien Durand,Lormont,,,,,new,high,"no candidate in lormont, nor anywhere in France holding a Michelin 2025 row",new
216,new_venue,,La Table d'Hôtes - Le Quatrième Mur,Bordeaux,,,,,new,high,"no candidate left once the venue another row of this batch speaks for is set aside; dropped: ve_a71d3afafa (La table d'hôtes, Ouistreham) is already spoken for by line 705 (La Table d'Hôtes, match)",new
218,new_venue,,Le Saint-James,Bouliac,ve_e998bbe81d,Hôtel & Restaurant Le Saint-James,bouliac,One Star,use:ve_e998bbe81d,high,same tier both years: 1 star,use:ve_e998bbe81d
219,new_venue,,Lore Ttipia - Auberge Ostape,Bidarray,,,,,new,high,"no candidate in bidarray, nor anywhere in France holding a Michelin 2025 row",new
224,new_venue,,Pureté,Lille,ve_10e5b8d3d7,Restaurant PURETÉ,lille,One Star,use:ve_10e5b8d3d7,high,same tier both years: 1 star,use:ve_10e5b8d3d7
226,new_venue,,La Grange de Belle-Église,Belle-Église,,,,,new,high,"no candidate in belle-eglise, nor anywhere in France holding a Michelin 2025 row",new
228,new_venue,,La Promenade - Maison Dallais,Le Petit-Pressigny,,,,,new,high,"no candidate in le-petit-pressigny, nor anywhere in France holding a Michelin 2025 row",new
234,new_venue,,Ducasse au Château de Versailles - Le Grand Contrôle,Versailles,,,,,new,high,"no candidate in versailles, nor anywhere in France holding a Michelin 2025 row",new
235,new_venue,,Ochre,Rueil-Malmaison,ve_0b86351c11,Restaurant Ochre,rueil-malmaison,One Star,use:ve_0b86351c11,high,same tier both years: 1 star,use:ve_0b86351c11
241,new_venue,,Les Belles Perdrix de Troplong Mondot,Saint-Emilion,,,,,new,high,"no candidate in saint-emilion, nor anywhere in France holding a Michelin 2025 row",new
242,new_venue,,L'Auberge Saint Jean,Saint-Jean-de-Blaignac,ve_9e77c9e379,Auberge Saint Jean,saint-jean-de-blaignac,One Star,use:ve_9e77c9e379,high,same tier both years: 1 star,use:ve_9e77c9e379
245,new_venue,,Le Favori - Les Sources de Cheverny,Cheverny,,,,,new,high,"no candidate in cheverny, nor anywhere in France holding a Michelin 2025 row",new
246,new_venue,,Le Verbois,Chantilly,,,,,new,high,"no candidate in chantilly, nor anywhere in France holding a Michelin 2025 row",new
247,new_venue,,Bellefeuille - Saint James Paris,Paris,ve_9c2e7e5cf0,Bellefeuille,paris,One Star,use:ve_9c2e7e5cf0,high,same tier both years: 1 star,use:ve_9c2e7e5cf0
251,new_venue,,Le Faham,Paris,,,,,new,high,"no candidate in paris, nor anywhere in France holding a Michelin 2025 row",new
257,new_venue,,Frédéric Simonin,Paris,ve_974d97d7f9,Restaurant Frederic Simonin,paris,One Star,use:ve_974d97d7f9,high,same tier both years: 1 star,use:ve_974d97d7f9
259,new_venue,,Agapé,Paris,,,,,new,high,"no candidate left once the venue another row of this batch speaks for is set aside; dropped: ve_80d1bf1939 (L'Agape, Avignon) is already spoken for by line 1019 (L'Agape, match)",new
262,new_venue,,Onor,Paris,,,,,new,high,"no candidate in paris, nor anywhere in France holding a Michelin 2025 row",new
266,new_venue,,Oxte,Paris,ve_fd4687ea75,Restaurant OXTE,paris,One Star,use:ve_fd4687ea75,high,same tier both years: 1 star,use:ve_fd4687ea75
267,new_venue,,Alan Geaam,Paris,ve_1d45b90d41,Restaurant Alan Geaam,paris,One Star,use:ve_1d45b90d41,high,same tier both years: 1 star,use:ve_1d45b90d41
268,new_venue,,Don Juan II,Paris,,,,,new,high,"no candidate in paris, nor anywhere in France holding a Michelin 2025 row",new
271,new_venue,,Trente-Trois,Paris,ve_9b272faa8a,Restaurant Trente-Trois,paris,One Star,use:ve_9b272faa8a,high,same tier both years: 1 star,use:ve_9b272faa8a
273,new_venue,,La Grande Table du Plaza Athénée,Paris,,,,,new,high,"no candidate in paris, nor anywhere in France holding a Michelin 2025 row",new
276,new_venue,,Origines Restaurant,Paris,,,,,new,high,"no candidate in paris, nor anywhere in France holding a Michelin 2025 row",new
277,new_venue,,Gaya par Pierre Gagnaire,Paris,,,,,new,high,"no candidate in paris, nor anywhere in France holding a Michelin 2025 row",new
278,new_venue,,Pilgrim,Paris,,,,,new,high,"no candidate in paris, nor anywhere in France holding a Michelin 2025 row",new
280,new_venue,,Anona,Paris,,,,,new,high,"no candidate in paris, nor anywhere in France holding a Michelin 2025 row",new
287,new_venue,,114 Faubourg,Paris,,,,,new,high,"no candidate in paris, nor anywhere in France holding a Michelin 2025 row",new
289,new_venue,,Espadon,Paris,,,,,new,high,"no candidate in paris, nor anywhere in France holding a Michelin 2025 row",new
292,new_venue,,Pavyllon Paris,Paris,,,,,new,high,"no candidate in paris, nor anywhere in France holding a Michelin 2025 row",new
295,new_venue,,Divellec,Paris,ve_598810e8fe,Restaurant Divellec,paris,One Star,use:ve_598810e8fe,high,same tier both years: 1 star,use:ve_598810e8fe
296,review_venue,norm_key_too_short,ES,Paris,,,,,new,high,"no candidate in paris, nor anywhere in France holding a Michelin 2025 row",new
297,new_venue,,Akrame,Paris,ve_7c2f54f0ab,Restaurant Akrame,paris,One Star,use:ve_7c2f54f0ab,high,same tier both years: 1 star,use:ve_7c2f54f0ab
302,new_venue,,Pantagruel,Paris,,,,,new,high,"no candidate in paris, nor anywhere in France holding a Michelin 2025 row",new
305,new_venue,,Nakatani,Paris,,,,,new,high,"no candidate in paris, nor anywhere in France holding a Michelin 2025 row",new
311,new_venue,,Omar Dhiab,Paris,ve_829f7fd32b,Restaurant Omar Dhiab,paris,One Star,use:ve_829f7fd32b,high,same tier both years: 1 star,use:ve_829f7fd32b
312,new_venue,,Accents Table Bourse,Paris,,,,,new,high,"no candidate in paris, nor anywhere in France holding a Michelin 2025 row",new
318,new_venue,,MoSuke,Paris,,,,,new,high,"no candidate in paris, nor anywhere in France holding a Michelin 2025 row",new
325,new_venue,,Anne,Paris,,,,,new,high,"no candidate in paris, nor anywhere in France holding a Michelin 2025 row",new
328,new_venue,,Restaurant H,Paris,,,,,new,high,"no candidate in paris, nor anywhere in France holding a Michelin 2025 row",new
329,new_venue,,Mavrommatis,Paris,,,,,new,high,"no candidate in paris, nor anywhere in France holding a Michelin 2025 row",new
332,new_venue,,FIEF,Paris,,,,,new,high,"no candidate in paris, nor anywhere in France holding a Michelin 2025 row",new
333,new_venue,,Amâlia,Paris,,,,,new,high,"no candidate in paris, nor anywhere in France holding a Michelin 2025 row",new
336,review_venue,norm_key_too_short,AT,Paris,ve_c844edd53f,AT,paris,,use:ve_c844edd53f,medium,"the name reduces to under three characters, so no key can match it automatically (norm_key_too_short); ""AT"" in paris is the same name written out; the venue is in paris already but holds no Michelin 2025 row, so it is outside the candidate search - there is no 2025 tier to compare against the 2026 1 star",use:ve_c844edd53f
338,new_venue,,Tour d'Argent,Paris,ve_6522e4fb4b,La Tour d'Argent,paris,One Star,use:ve_6522e4fb4b,high,same tier both years: 1 star,use:ve_6522e4fb4b
342,new_venue,,La Table Mirasol,Mont-de-Marsan,,,,,new,high,"no candidate in mont-de-marsan, nor anywhere in France holding a Michelin 2025 row",new
343,new_venue,,Villa9Trois,Montreuil,,,,,new,high,"no candidate in montreuil, nor anywhere in France holding a Michelin 2025 row",new
345,review_city,city_not_found,L'Ours,Vincennes,,,,,new,high,"no candidate anywhere in France holding a Michelin 2025 row; needs city: Vincennes, France",new
346,new_venue,,La Table - Christophe Hay,Ardon,,,,,new,high,"no candidate in ardon, nor anywhere in France holding a Michelin 2025 row",new
348,review_venue,same_key_other_city,L'Orangerie,Eugénie-les-Bains,,,,,new,high,"no candidate left once the venue another row of this batch speaks for is set aside; dropped: ve_754e0eb50d (L'Orangerie, Pornic) is already spoken for by line 693 (L'Orangerie, match); dropped: ve_ae34100f94 (L'Orangerie, Menton) is already spoken for by line 1068 (L'Orangerie, match)",new
349,new_venue,,Les Fresques - Château des Vigiers,Monestier,ve_3a24173df2,Fresques,evian-les-bains (other city),One Star,,,"Ben's call: the candidate's city matches one row exactly and not the other. blank on purpose: line 562 proposes the same venue ve_3a24173df2. Two rows cannot be one venue - pick the one that is it and make the other new. (city differs: db evian-les-bains, michelin Monestier; the venue is not moved; the discrepancy is recorded here)",new
